Name,article_status,article_snippet
"Edithburgh Jetty",,
"Shark Cave",,
"Wreck of the Alert",,
"Stack Island",,
"Rowley Shoals",skipped,
"Eaglehawk Neck Caves",skipped,
"Julian Rocks",,
"HMAS Swan Wreck",,
"Osprey Reef",,
"Flinders Pier",,
"Portsea Pier",,
"SS Annie M. Miller",skipped,
"Five Fathom Reef",,
"Clarkes Reef",Completed,
"Kilsby Sinkhole",,
"Piccaninnie Ponds",,
"Mount Hypipamee Crater",,
"Shark Point",,
"Tank Cave",,
"Little Bay",,
"Kurnell Monument",,
"Blizzard Ridge",skipped,
"Cocklebiddy Cave",skipped,
"Boyinaboat Reef",skipped,
"Clovelly Pool",skipped,
"Clerke Reef",skipped,
"Camp Cove",skipped,
"Freshwater Reef",Draft,
"Ewens Ponds",skipped,
"The Leap",skipped,
"The Apartments",,
"South Maroubra Reef",,
"Wattamolla Lagoon",,
"Port Noarlunga Reef",skipped,
"Rapid Bay Jetty",,
"Edithburgh Jetty",,
"North Harbour Aquatic Reserve",,
"Dee Why Wide",skipped,
"Little Manly Cove",,
"The Steps Drift",skipped,
"Frenchmans Bay",,
"Gordon's Bay",,
"Ewens Ponds",skipped,
"Port Lincoln Jetty",,
"The Bluff (Rosetta Head)",,
"Port Hughes Jetty",,
"Stony Point",,
"Star of Greece Wreck",,
"Port MacDonnell Breakwater",,
"Glenelg Dredge Wreck",,
"Second Valley",,
"Piccaninnie Ponds",,
"North Haven Wall",,
"Port Victoria Jetty",,
"Noarlunga Tyre Reef",,
"Port Broughton Jetty",,
"Point Lowly",,
"Wallaroo Jetty",,
"Port Giles Jetty",,
"Ardrossan Barge",skipped,
"Streaky Bay Jetty",,
"Port Pirie Jetty",,
"Marion Bay Jetty",,
"Point Turton Jetty",,
"Snelling Beach",,
"Vivonne Bay Reef",,
"Port Neill Jetty",,
"Point Drummond",,
"Port Wakefield Wall",,
"Coffin Bay Oyster Lease",Completed,
"Black Point Reef",skipped,
"Elliston Jetty",,
"Emu Bay Jetty",,
"Talia Cave Shore Dive",,
"Wedge Island Jetty",,
"West Cape Reef",,
"Seal Bay Snorkel Area",,
"Stokes Bay Reef",,
"Cape Jervis Jetty",skipped,
"Port Vincent Jetty",,
"Wedge Island Drift",,
"Thistle Island Wall",,
"Sleaford Mere",,
"Nuyts Archipelago Drop-off",,
"Eyre Island Channels",,
"Fishery Bay Reef",,
"Point Labatt",,
"Scawfell Island Pinnacle",,
"Llewellyn Reef",,
"Keswick Island Wreck",,
"Scawfell Island Coral Gardens",,
"St Bees Island Reef",,
"Outer Newry Island",,
"Dutton Bay Jetty",skipped,
"Cape Spencer Reef",skipped,
"Cape Borda Wall",skipped,
"Baird Bay Reef",skipped,
"Cape Donington",skipped,
"South Cumberland Islands Bommie",,
"Tinsmith Reef",,
"Mackay Harbour Jetty",,
"Black Reef (Mackay)",skipped,
"Credlin Reef",Completed,
"Danger Reef",skipped,
"East Newry Island",,
"Julian Rocks – The Nursery",,
"Nine Mile Reef",,
"The Pinnacle",,
"Shag Rock",,
"Pipeline Port Stephens",,
"The Looking Glass – South Solitary Island",,
"Muttonbird Island",,
"Split Solitary Island",,
"North Solitary Island – Anemone Bay",,
"North Solitary – Bubble Cave",,
"Brampton Island Wall",skipped,
"Double Cone Island",,
"Cockermouth Island Reef",skipped,
"North Solitary – Elbow Cave",,
"North West Solitary Island",,
"Wooli Pinnacle",,
"Pimpernel Rock",,
"Cook Island – Turtle Cove",Completed,
"Spot X Reef",,
"Swansea Bridge",,
"Halifax Park",,
"Kingscliff Reef",,
"Fingal Head Reef",,
"Julian Rocks – Hugo's Trench",,
"Kings Beach – Broken Head",,
"North Ballina Wall",,
"Red Rock Reef",,
"Sandon River Mouth",,
"Wooli Beach Bommies",,
"Wilson Headland",,
"Patch's Reef – Woolgoolga",skipped,
"The Steps – Port Macquarie",,
"Cabbage Tree Island",skipped,
"Fly Point to Pipeline Drift",,
"Sandstone Reef – Minnie Water",,
"Green Island East Wall",,
"Racecourse Reef – Crescent Head",,
"Korogoro Creek Mouth",,
"Middle Ground – Port Macquarie",,
"Town Beach Headland",,
"Dolphin Reef – Crescent Head",,
"Lighthouse Reef – South West Rocks",,
"Little Bay Headland",,
"Jons Cave",,
"Flinders Reef",,
"Flynns Beach Reef",,
"Gold Coast Seaway",,
"Curtin Artificial Reef",,
"Black Rock Reef – Evans Head",skipped,
"China Wall",skipped,
"Palm Beach Reef",,
"Kirra Reef",,
"Peel Island",,
"Harry Atkinson Artificial Reef",,
"West Peel Artificial Reef",,
"Mudjimba Island (Old Woman Island)",,
"Julian Rocks Marine Sanctuary",,
"Tweed River",,
"Horseshoe Bay (Peel Island)",,
"The Bluff (Peel Island)",,
"Scottish Prince Shipwreck",,
"Ex-HMAS Brisbane",,
"Cook Island",Completed,
"Fraser Island",,
"Klein Point Barge",,
"Bass Point",skipped,
"Wool Bay Jetty",,
"Ethel Wreck",,
"Keswick Island Reef",,
"The Cementco Wreck",,
"Flat Rock",,
"Buchanan's Wall – South Solitary",skipped,
"Angourie Back Beach",skipped,
"Cherubs Cave",skipped,
"Albany Artificial Reef",skipped,
"Arrawarra Headland",skipped,
"The Gutter",,
