Site ID,Site Name,Region,Skill Level,Has Article,Article Title,Article Slug,Article Published,Article URL
212,Hat Head Bommie,"Hat Head, NSW",Intermediate,Yes,,,,
215,Korogoro Creek Mouth,"Hat Head, NSW",Beginner,No,,,,
210,Woody Head Reef,"Iluka, NSW",Intermediate,No,,,,
126,Ethel Wreck,"Innes National Park, SA",Intermediate,No,,,,
55,Yena Gap,"Kamay Botany Bay NP, NSW",Advanced,No,,,,
116,Emu Bay Jetty,"Kangaroo Island, SA",Beginner,No,,,,
85,Kingscote Jetty,"Kangaroo Island, SA",Beginner,Yes,,,,
130,Seal Bay Snorkel Area,"Kangaroo Island, SA",Beginner,No,,,,
113,Snelling Beach,"Kangaroo Island, SA",Intermediate,No,,,,
131,Stokes Bay Reef,"Kangaroo Island, SA",Intermediate,No,,,,
115,Vivonne Bay Reef,"Kangaroo Island, SA",Advanced,No,,,,
194,Kingscliff Reef,"Kingscliff, NSW",Intermediate,No,,,,
171,Shag Rock,"Kingscliff, NSW",Intermediate,No,,,,
54,Kurnell Monument,"Kurnell, NSW",Intermediate,No,,,,
57,Bare Island Deep Wall,"La Perouse, NSW",Intermediate,No,,,,
191,Swansea Bridge,"Lake Macquarie, NSW",Intermediate,No,,,,
89,Piccaninnie Ponds,"Limestone Coast, SA",Advanced,No,,,,
87,Port MacDonnell Breakwater,"Limestone Coast, SA",Intermediate,No,,,,
138,Sleaford Mere,"Lincoln NP, SA",Beginner,No,,,,
51,Little Bay,"Little Bay, NSW",Beginner,No,,,,
10,Lord Howe Island,"Lord Howe Island, NSW",Advanced,No,,,,
164,Round Top Island,"Mackay Coast, QLD",Beginner,No,,,,
151,Scawfell Island Coral Gardens,"Mackay Islands, QLD",Beginner,No,,,,
146,Scawfell Island Pinnacle,"Mackay Islands, QLD",Intermediate,No,,,,
145,Keswick Island Reef,"Mackay, QLD",Intermediate,No,,,,
148,Keswick Island Wreck,"Mackay, QLD",Intermediate,No,,,,
162,Mackay Harbour Jetty,"Mackay, QLD",Beginner,No,,,,
158,South Cumberland Islands Bommie,"Mackay, QLD",Intermediate,No,,,,
152,St Bees Island Reef,"Mackay, QLD",Intermediate,No,,,,
50,Fairy Bower,"Manly, NSW",All Levels,No,,,,
72,Little Manly Cove,"Manly, NSW",Beginner,No,,,,
73,North Harbour Aquatic Reserve,"Manly, NSW",Intermediate,No,,,,
68,South Maroubra Reef,"Maroubra, NSW",Intermediate,No,,,,
211,Sandstone Reef – Minnie Water,"Minnie Water, NSW",Intermediate,No,,,,
223,Curtin Artificial Reef,"Moreton Bay, QLD",Advanced,No,,,,
237,Harry Atkinson Artificial Reef,"Moreton Bay, QLD",Intermediate,No,,,,
243,Horseshoe Bay (Peel Island),"Moreton Bay, QLD",All Levels,No,,,,
236,Peel Island,"Moreton Bay, QLD",All Levels,No,,,,
244,The Bluff (Peel Island),"Moreton Bay, QLD",Intermediate,No,,,,
238,West Peel Artificial Reef,"Moreton Bay, QLD",Intermediate,No,,,,
222,Flinders Reef,"Moreton Island, QLD",All Levels,No,,,,
250,Henderson's Rock,"Moreton Island, QLD",Advanced,Yes,,,,
226,Jons Cave,"Moreton Island, QLD",Advanced,No,,,,
251,Smith Rock,"Moreton Island, QLD",Advanced,Yes,,,,
229,The Cementco Wreck,"Moreton Island, QLD",Advanced,No,,,,
6,Flinders Pier,"Mornington Peninsula, VIC",Beginner,No,,,,
16,Portsea Pier,"Mornington Peninsula, VIC",Beginner,No,,,,
41,Kilsby Sinkhole,"Mt Gambier, SA",Advanced,No,,,,
40,Tank Cave,"Mt Gambier, SA",Advanced,No,,,,
207,Mullaway Reef,"Mullaway, NSW",Intermediate,No,,,,
153,East Newry Island,"Newry Islands, QLD",Beginner,No,,,,
154,Outer Newry Island,"Newry Islands, QLD",Intermediate,No,,,,
227,Flat Rock,"North Stradbroke Island, QLD",Advanced,No,,,,
228,Manta Bommie,"North Stradbroke Island, QLD",All Levels,No,,,,
45,Weebubbie Cave,"Nullarbor Plain, WA",Advanced,Yes,,,,
184,Pimpernel Rock,"Off Coffs Harbour, NSW",Advanced,No,,,,
147,Llewellyn Reef,"Offshore Mackay, QLD",Advanced,No,,,,
159,Tinsmith Reef,"Outer GBR, QLD",Advanced,No,,,,
163,Wigton Reef,"Outer GBR, QLD",Advanced,No,,,,
22,Wreck of the Alert,"Phillip Island, VIC",Advanced,No,,,,
42,Ewens Ponds,"Port MacDonnell, SA",Beginner,No,,,,
217,Flynns Beach Reef,"Port Macquarie, NSW",Beginner,No,,,,
216,Middle Ground – Port Macquarie,"Port Macquarie, NSW",Advanced,No,,,,
190,The Steps – Port Macquarie,"Port Macquarie, NSW",Beginner,No,,,,
218,Town Beach Headland,"Port Macquarie, NSW",Beginner,No,,,,
193,Fly Point to Pipeline Drift,"Port Stephens, NSW",Intermediate,No,,,,
192,Halifax Park,"Port Stephens, NSW",Intermediate,No,,,,
174,Pipeline Port Stephens,"Port Stephens, NSW",Beginner,No,,,,
86,Star of Greece Wreck,"Port Willunga, SA",Advanced,No,,,,
202,Red Rock Reef,"Red Rock, NSW",Beginner,No,,,,
20,Five Fathom Reef,"Rockingham, WA",Intermediate,No,,,,
36,Shark Cave,"Rottnest Island, WA",Advanced,No,,,,
75,Wattamolla Lagoon,"Royal National Park, NSW",Beginner,No,,,,
203,Sandon River Mouth,"Sandon, NSW",Beginner,No,,,,
29,Stack Island,"Shellharbour, NSW",Advanced,No,,,,
28,The Gutter,"Shellharbour, NSW",Beginner,No,,,,
11,Fish Rock Cave,"South West Rocks, NSW",Advanced,Yes,,,,
213,Green Island East Wall,"South West Rocks, NSW",Intermediate,No,,,,
186,Green Island – South West Rocks,"South West Rocks, NSW",Intermediate,No,,,,
220,Lighthouse Reef – South West Rocks,"South West Rocks, NSW",Intermediate,No,,,,
221,Little Bay Headland,"South West Rocks, NSW",Beginner,No,,,,
109,Port Pirie Jetty,"Spencer Gulf, SA",Beginner,No,,,,
135,Thistle Island Wall,"Spencer Gulf, SA",Advanced,No,,,,
121,Wedge Island Caves,"Spencer Gulf, SA",Advanced,No,,,,
8,HMAS Brisbane,"Sunshine Coast, QLD",Intermediate,Yes,,,,
239,Mudjimba Island (Old Woman Island),"Sunshine Coast, QLD",All Levels,No,,,,
231,Cook Island,"Tweed Heads, NSW",All Levels,Yes,,,,
169,Nine Mile Reef,"Tweed Heads, NSW",Advanced,No,,,,
170,The Pinnacle,"Tweed Heads, NSW",Advanced,No,,,,
241,Tweed River,"Tweed Heads, NSW",Beginner,No,,,,
81,The Bluff (Rosetta Head),"Victor Harbor, SA",Advanced,No,,,,
134,Wedge Island Drift,"Wedge Island, SA",Advanced,No,,,,
125,Wedge Island Jetty,"Wedge Island, SA",Beginner,No,,,,
118,Elliston Jetty,"West Coast, SA",Beginner,No,,,,
140,Eyre Island Channels,"West Coast, SA",Intermediate,No,,,,
144,Point Labatt,"West Coast, SA",Advanced,No,,,,
124,Talia Cave Shore Dive,"West Coast, SA",Advanced,No,,,,
160,Double Cone Island,"Whitsundays, QLD",Intermediate,No,,,,
102,Point Lowly,"Whyalla, SA",All Levels,No,,,,
100,Whyalla Jetty,"Whyalla, SA",Beginner,Yes,,,,
179,North Solitary Island – Anemone Bay,"Wooli, NSW",Intermediate,No,,,,
180,North Solitary – Bubble Cave,"Wooli, NSW",Advanced,No,,,,
181,North Solitary – Elbow Cave,"Wooli, NSW",Advanced,No,,,,
205,Wilson Headland,"Wooli, NSW",Advanced,No,,,,
204,Wooli Beach Bommies,"Wooli, NSW",Intermediate,No,,,,
183,Wooli Pinnacle,"Wooli, NSW",Advanced,No,,,,
79,Edithburgh Jetty,"Yorke Peninsula, SA",All Levels,No,,,,
122,Hardwicke Bay Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
107,Klein Point Barge,"Yorke Peninsula, SA",Advanced,No,,,,
110,Marion Bay Jetty,"Yorke Peninsula, SA",Intermediate,No,,,,
111,Point Turton Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
97,Port Broughton Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
105,Port Giles Jetty,"Yorke Peninsula, SA",Intermediate,No,,,,
95,Port Hughes Barge Wreck,"Yorke Peninsula, SA",Intermediate,Yes,,,,
83,Port Hughes Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
90,Port Victoria Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
132,Port Vincent Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
104,Wallaroo Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
127,West Cape Reef,"Yorke Peninsula, SA",Advanced,No,,,,
80,Wool Bay Jetty,"Yorke Peninsula, SA",Beginner,No,,,,
39,Albany Artificial Reef,"Albany, WA",Beginner,Yes,Albany Artificial Reef is one of exciting new beginnings and ecological promise,albany-artificial-reef-is-one-of-exciting-new-beginnings-and-ecological-promise,Yes,https://www.scubadownunder.com/blog/albany-artificial-reef-is-one-of-exciting-new-beginnings-and-ecological-promise
39,Albany Artificial Reef,"Albany, WA",Beginner,Yes,Exploring Albany’s Underwater Secret: The Artificial Reef,exploring-albanys-underwater-secret-the-artificial-reef,Yes,https://www.scubadownunder.com/blog/exploring-albanys-underwater-secret-the-artificial-reef
34,Clarkes Reef,"Albany, WA",Intermediate,Yes,Clarkes Reef: A Rugged Underwater Landscape for Intermediate Adventurers,clarkes-reef-a-rugged-underwater-landscape-for-intermediate-adventurers,Yes,https://www.scubadownunder.com/blog/clarkes-reef-a-rugged-underwater-landscape-for-intermediate-adventurers
206,Arrawarra Headland,"Arrawarra, NSW",Beginner,Yes,Arrawarra Headland: Shore Diving with Turtles and Tranquillity,arrawarra-headland-shore-diving-with-turtles-and-tranquillity,Yes,https://www.scubadownunder.com/blog/arrawarra-headland-shore-diving-with-turtles-and-tranquillity
23,South Bondi Reef,"Bondi, NSW",Intermediate,Yes,South Bondi Reef Dive Guide,south-bondi-reef-dive-guide,Yes,https://www.scubadownunder.com/blog/south-bondi-reef-dive-guide
76,Cape Banks Caverns,"Botany Bay, NSW",Advanced,Yes,"Diving the Cape Banks Caverns, Botany Bay",diving-the-cape-banks-caverns-botany-bay,Yes,https://www.scubadownunder.com/blog/diving-the-cape-banks-caverns-botany-bay
149,Brampton Island Wall,"Brampton Island, QLD",Intermediate,Yes,Brampton Island Wall Dive Guide,brampton-island-wall-dive-guide,Yes,https://www.scubadownunder.com/blog/brampton-island-wall-dive-guide
69,The Colours,"Clovelly, NSW",Intermediate,Yes,The Colours of Clovelly Beach NSW,the-colours-of-clovelly-beach-nsw,Yes,https://www.scubadownunder.com/blog/the-colours-of-clovelly-beach-nsw
176,Buchanan's Wall – South Solitary,"Coffs Harbour, NSW",Intermediate,Yes,Buchanan’s Wall South Solitary Island Dive Guide Coffs Harbour NSW,buchanans-wall-south-solitary-island-dive-guide-coffs-harbour-nsw,Yes,https://www.scubadownunder.com/blog/buchanans-wall-south-solitary-island-dive-guide-coffs-harbour-nsw
70,Long Reef Wall,"Collaroy, NSW",Advanced,Yes,The Wall at Long Reef: Sydney’s Cathedral of Sharks,the-wall-at-long-reef-sydneys-cathedral-of-sharks,Yes,https://www.scubadownunder.com/blog/the-wall-at-long-reef-sydneys-cathedral-of-sharks
52,Oak Park,"Cronulla, NSW",All Levels,Yes,"Oak Park Dive Site, Sydney's Hidden Gem",oak-park-dive-site-sydneys-hidden-gem,Yes,https://www.scubadownunder.com/blog/oak-park-dive-site-sydneys-hidden-gem
19,Darwin Harbour Wrecks,"Darwin, NT",Advanced,Yes,Darwin Harbour Wrecks Dive Guide,darwin-harbour-wrecks-dive-guide,Yes,https://www.scubadownunder.com/blog/darwin-harbour-wrecks-dive-guide
66,Dee Why Wide,"Dee Why, NSW",Advanced,Yes,Diving Dee Why Wide: A Forgotten Cradle of Coastal Charisma,diving-dee-why-wide-a-forgotten-cradle-of-coastal-charisma,Yes,https://www.scubadownunder.com/blog/diving-dee-why-wide-a-forgotten-cradle-of-coastal-charisma
21,Orford Reef Giant Kelp Forest,"Eaglehawk Neck, TAS",Advanced,Yes,Exploring Orford Reef’s Giant Kelp Forest at Eaglehawk Neck,exploring-orford-reefs-giant-kelp-forest-at-eaglehawk-neck,Yes,https://www.scubadownunder.com/blog/exploring-orford-reefs-giant-kelp-forest-at-eaglehawk-neck
199,Black Rock Reef – Evans Head,"Evans Head, NSW",Intermediate,Yes,"Diving Black Reef Point, Evans Head",diving-black-reef-point-evans-head,Yes,https://www.scubadownunder.com/blog/diving-black-reef-point-evans-head
38,Exmouth Navy Jetty,"Exmouth, WA",Beginner,Yes,Exmouth Navy Jetty: A Macro Wonderland for Beginners,exmouth-navy-jetty-a-macro-wonderland-for-beginners,No,
245,Muiron Island,"Exmouth, WA",Beginner,Yes,Muiron Island: A Pristine Oasis in Western Australia's Ningaloo Reef,muiron-island-a-pristine-oasis-in-western-australias-ningaloo-reef,Yes,https://www.scubadownunder.com/blog/muiron-island-a-pristine-oasis-in-western-australias-ningaloo-reef
5,Ningaloo Reef,"Exmouth, WA",Beginner,Yes,Diving the Wild Edge of Australia: Ningaloo Reef,diving-the-wild-edge-of-australia-ningaloo-reef,Yes,https://www.scubadownunder.com/blog/diving-the-wild-edge-of-australia-ningaloo-reef
5,Ningaloo Reef,"Exmouth, WA",Beginner,Yes,Ningaloo Reef: Western Australia's Coral Masterpiece for Every Diver,ningaloo-reef-western-australias-coral-masterpiece-for-every-diver,No,
133,Arno Bay Jetty,"Eyre Peninsula, SA",Beginner,Yes,Arno Bay Jetty Dive Review,arno-bay-jetty-dive-review,Yes,https://www.scubadownunder.com/blog/arno-bay-jetty-dive-review
136,Cape Donington,"Eyre Peninsula, SA",Intermediate,Yes,Cape Donnington,cape-donnington,Yes,https://www.scubadownunder.com/blog/cape-donnington
119,Coffin Bay Oyster Lease,"Eyre Peninsula, SA",Intermediate,Yes,Coffin Bay Oyster Lease: A Unique Marine Garden in South Australia’s Shellfish Heartland,coffin-bay-oyster-lease-a-unique-marine-garden-in-south-australias-shellfish-heartland,No,
141,Dutton Bay Jetty,"Eyre Peninsula, SA",Beginner,Yes,Mount Dutton Bay Jetty Diving Guide,mount-dutton-bay-jetty-diving-guide,Yes,https://www.scubadownunder.com/blog/mount-dutton-bay-jetty-diving-guide
94,Aldinga Drop-off,"Fleurieu Peninsula, SA",Advanced,Yes,Aldinga Drop-off Dive Review: Wall Diving on Adelaide’s Doorstep,aldinga-drop-off-dive-review-wall-diving-on-adelaides-doorstep,Yes,https://www.scubadownunder.com/blog/aldinga-drop-off-dive-review-wall-diving-on-adelaides-doorstep
108,Cape Jervis Jetty,"Fleurieu Peninsula, SA",Intermediate,Yes,Diving Cape Jervis Jetty Fleurieu Peninsula,diving-cape-jervis-jetty-fleurieu-peninsula,Yes,https://www.scubadownunder.com/blog/diving-cape-jervis-jetty-fleurieu-peninsula
108,Cape Jervis Jetty,"Fleurieu Peninsula, SA",Intermediate,Yes,Under the Radar: A Deep Dive into Cape Jervis Jetty,under-the-radar-a-deep-dive-into-cape-jervis-jetty,Yes,https://www.scubadownunder.com/blog/under-the-radar-a-deep-dive-into-cape-jervis-jetty
187,Black Rock – Forster,"Forster, NSW",Advanced,Yes,Black Rock Dive Site Forster,black-rock-dive-site-forster,Yes,https://www.scubadownunder.com/blog/black-rock-dive-site-forster
187,Black Rock – Forster,"Forster, NSW",Advanced,Yes,"Black Rock Dive Site – Forster, NSW",black-rock-dive-site-forster-nsw,Yes,https://www.scubadownunder.com/blog/black-rock-dive-site-forster-nsw
161,Black Reef (Mackay),"GBR offshore Mackay, QLD",Advanced,Yes,Black Reef Mackay – The Untouched Gem of the Southern Great Barrier Reef,black-reef-mackay-the-untouched-gem-of-the-southern-great-barrier-reef,Yes,https://www.scubadownunder.com/blog/black-reef-mackay-the-untouched-gem-of-the-southern-great-barrier-reef
156,Danger Reef,"GBR, QLD",Advanced,Yes,Diving Danger Reef Great Barrier Reef Queensland,diving-danger-reef-great-barrier-reef-queensland,Yes,https://www.scubadownunder.com/blog/diving-danger-reef-great-barrier-reef-queensland
1,Cod Hole,Great Barrier Reef - Cairns,Advanced,Yes,"Cod Hole Dive Site Review — Great Barrier Reef, Australia",cod-hole-dive-site-review-great-barrier-reef-australia,Yes,https://www.scubadownunder.com/blog/cod-hole-dive-site-review-great-barrier-reef-australia
2,SS Yongala Wreck,Great Barrier Reef - Townsville,Advanced,Yes,The Majesty of the Deep: Unveiling the SS Yongala Wreck,the-majesty-of-the-deep-unveiling-the-ss-yongala-wreck,Yes,https://www.scubadownunder.com/blog/the-majesty-of-the-deep-unveiling-the-ss-yongala-wreck
33,Blue Holes,"Kalbarri, WA",Beginner,Yes,Blue Holes Kalbarri WA Dive Site Review,blue-holes-kalbarri-wa-dive-site-review,Yes,https://www.scubadownunder.com/blog/blue-holes-kalbarri-wa-dive-site-review
114,American River Wharf,"Kangaroo Island, SA",Beginner,Yes,American River Wharf Dive Site Guide,american-river-wharf-dive-site-guide,Yes,https://www.scubadownunder.com/blog/american-river-wharf-dive-site-guide
129,Cape Borda Wall,"Kangaroo Island, SA",Advanced,Yes,Cape Borda Wall: A Deep Dive into Kangaroo Island’s Hidden Drop,cape-borda-wall-a-deep-dive-into-kangaroo-islands-hidden-drop,Yes,https://www.scubadownunder.com/blog/cape-borda-wall-a-deep-dive-into-kangaroo-islands-hidden-drop
61,The Leap,"Kurnell, NSW",Advanced,Yes,Diving The Leap Kurnell: Sydney’s Thrilling Drift Adventure,diving-the-leap-kurnell-sydneys-thrilling-drift-adventure,Yes,https://www.scubadownunder.com/blog/diving-the-leap-kurnell-sydneys-thrilling-drift-adventure
62,The Steps Drift,"Kurnell, NSW",Intermediate,Yes,Diving The Steps Kurnell: Sydney’s Shore Diving Gem,diving-the-steps-kurnell-sydneys-shore-diving-gem,Yes,https://www.scubadownunder.com/blog/diving-the-steps-kurnell-sydneys-shore-diving-gem
252,Voodoo,"Kurnell, NSW",Advanced,Yes,Voodoo a truly different diving experience in Kurnell,voodoo-a-truly-different-diving-experience-in-kurnell,Yes,https://www.scubadownunder.com/blog/voodoo-a-truly-different-diving-experience-in-kurnell
14,Bare Island,"La Perouse, NSW",Beginner,Yes,Bare Island Dive Guide: Sydney’s Shore Diving Gem in Botany Bay,bare-island-dive-guide-sydneys-shore-diving-gem-in-botany-bay,Yes,https://www.scubadownunder.com/blog/bare-island-dive-guide-sydneys-shore-diving-gem-in-botany-bay
74,Frenchmans Bay,"La Perouse, NSW",Beginner,Yes,Frenchmans Bay: A Tranquil Gateway to Sydney's Underwater Macro World,frenchmans-bay-a-tranquil-gateway-to-sydneys-underwater-macro-world,Yes,https://www.scubadownunder.com/blog/frenchmans-bay-a-tranquil-gateway-to-sydneys-underwater-macro-world
157,Cockermouth Island Reef,"Mackay Islands, QLD",Intermediate,Yes,Diving Cockermouth Island Reef Mackay Islands,diving-cockermouth-island-reef-mackay-islands,Yes,https://www.scubadownunder.com/blog/diving-cockermouth-island-reef-mackay-islands
13,Shelly Beach,"Manly, NSW",Beginner,Yes,Diving at Shelly Beach Manly: A Guide for Every Diver,diving-at-shelly-beach-manly-a-guide-for-every-diver,Yes,https://www.scubadownunder.com/blog/diving-at-shelly-beach-manly-a-guide-for-every-diver
59,Magic Point,"Maroubra, NSW",Advanced,Yes,Magic Point Sydney,magic-point-sydney,Yes,https://www.scubadownunder.com/blog/magic-point-sydney
224,Cherubs Cave,"Moreton Island, QLD",Advanced,Yes,Cherubs Cave Moreton Island Dive Guide,cherubs-cave-moreton-island-dive-guide,Yes,https://www.scubadownunder.com/blog/cherubs-cave-moreton-island-dive-guide
225,China Wall,"Moreton Island, QLD",Intermediate,Yes,Moreton Island's China Wall,moreton-islands-china-wall,Yes,https://www.scubadownunder.com/blog/moreton-islands-china-wall
64,Chowder Bay,"Mosman, NSW",Beginner,Yes,Chowder Bay: A Calm Harbour Dive in Sydney’s Leafy North,chowder-bay-a-calm-harbour-dive-in-sydneys-leafy-north,Yes,https://www.scubadownunder.com/blog/chowder-bay-a-calm-harbour-dive-in-sydneys-leafy-north
246,Montague Island,Narooma,Beginner,Yes,"Drift with the Seals: Diving Montague Island, Narooma",drift-with-the-seals-diving-montague-island-narooma,Yes,https://www.scubadownunder.com/blog/drift-with-the-seals-diving-montague-island-narooma
32,Blizzard Ridge,"Ningaloo Reef, WA",Intermediate,Yes,Blizzard Ridge: Drifting through Colour and Coral on Ningaloo’s Secret Slope,blizzard-ridge-drifting-through-colour-and-coral-on-ningaloos-secret-slope,Yes,https://www.scubadownunder.com/blog/blizzard-ridge-drifting-through-colour-and-coral-on-ningaloos-secret-slope
63,Bluefish Point,"North Head, NSW",Advanced,Yes,Diving Bluefish Point North Head NSW,diving-bluefish-point-north-head-nsw,Yes,https://www.scubadownunder.com/blog/diving-bluefish-point-north-head-nsw
4,Poor Knights Islands,"Northland, NZ",Intermediate,Yes,Subtropical Paradise Poor Knights Island,subtropical-paradise-poor-knights-island,Yes,https://www.scubadownunder.com/blog/subtropical-paradise-poor-knights-island
44,Cocklebiddy Cave,"Nullarbor Plain, WA",Advanced,Yes,Cocklebiddy Cave Diving Review,cocklebiddy-cave-diving-review,Yes,https://www.scubadownunder.com/blog/cocklebiddy-cave-diving-review
35,Clerke Reef,"Offshore Broome, WA",Advanced,Yes,"The Crystal Cathedral: Diving Clerke Reef Marine Park, WA",the-crystal-cathedral-diving-clerke-reef-marine-park-wa,Yes,https://www.scubadownunder.com/blog/the-crystal-cathedral-diving-clerke-reef-marine-park-wa
9,Rowley Shoals,"Offshore Broome, WA",Advanced,Yes,Rowley Shoals Dive Guide: Exploring Western Australia’s Remote Coral Cathedral,rowley-shoals-dive-guide-exploring-western-australias-remote-coral-cathedral,Yes,https://www.scubadownunder.com/blog/rowley-shoals-dive-guide-exploring-western-australias-remote-coral-cathedral
150,Credlin Reef,"Outer GBR off Mackay, QLD",Advanced,Yes,Credlin Reef: A Remote Frontier for Advanced Explorers,credlin-reef-a-remote-frontier-for-advanced-explorers,No,
37,Boyinaboat Reef,"Perth, WA",Beginner,Yes,Boyinaboat Reef Diving Guide Perth,boyinaboat-reef-diving-guide-perth,Yes,https://www.scubadownunder.com/blog/boyinaboat-reef-diving-guide-perth
37,Boyinaboat Reef,"Perth, WA",Beginner,Yes,Boyinaboat Reef Diving Guide,boyinaboat-reef-diving-guide,Yes,https://www.scubadownunder.com/blog/boyinaboat-reef-diving-guide
172,Cabbage Tree Island,"Port Stephens, NSW",Intermediate,Yes,Diving Cabbage Tree Island Port Stephens,diving-cabbage-tree-island-port-stephens,Yes,https://www.scubadownunder.com/blog/diving-cabbage-tree-island-port-stephens
27,Bass Point,"Shellharbour, NSW",Intermediate,Yes,The Definitive Map: Navigating the Hubs of Bass Point,the-definitive-map-navigating-the-hubs-of-bass-point,Yes,https://www.scubadownunder.com/blog/the-definitive-map-navigating-the-hubs-of-bass-point
26,Bushrangers Bay,"Shellharbour, NSW",Beginner,Yes,Bushies Shell Harbour,bushies-shell-harbour,Yes,https://www.scubadownunder.com/blog/bushies-shell-harbour
235,Ex-HMAS Brisbane,"Sunshine Coast, QLD",Advanced,Yes,Exploring a Legend: The HMAS Brisbane Wreck,exploring-a-legend-the-hmas-brisbane-wreck,Yes,https://www.scubadownunder.com/blog/exploring-a-legend-the-hmas-brisbane-wreck
15,SS Annie M. Miller,"Sydney, NSW",Advanced,Yes,SS Annie M. Miller Wreck: A Submerged Relic of Sydney's Maritime Past,ss-annie-m-miller-wreck-a-submerged-relic-of-sydneys-maritime-past,Yes,https://www.scubadownunder.com/blog/ss-annie-m-miller-wreck-a-submerged-relic-of-sydneys-maritime-past
18,Eaglehawk Neck Caves,Tasmania,Advanced,Yes,Diving the Eaglehawk Neck Caves – Tasmania’s Submerged Labyrinth,diving-the-eaglehawk-neck-caves-tasmanias-submerged-labyrinth,Yes,https://www.scubadownunder.com/blog/diving-the-eaglehawk-neck-caves-tasmanias-submerged-labyrinth
