ID,Name,Latitude,Longitude,Water Temperature,Skill Level,Depth Range,Description,Visibility,Best Time,Region,Marine Life,Hazards,Facilities,Image URL,Featured,Created At,Viz Slug,Compass Bearing,Nearby Runoff,Viz Triggers,Viz Seasonal
11,"Fish Rock Cave",-30.94000000,153.10170000,"18–26°C","Advanced","10–30m","Ocean cave and shark hotspot with tunnel dives and big marine life.","10–20m","May–October","South West Rocks, NSW","Grey nurse sharks, turtles, morays","Cave penetration, currents","Boat dive",https://i0.wp.com/www.australiangeographic.com.au/wp-content/uploads/2024/11/JakeWiltonFishRockCaveShaliseAusGeo7-scaled.jpg?w=2560&ssl=1,false,2025-06-07T04:34:45.927Z,,,,,
246,"Montague Island",-36.25000000,150.21670000,"23-27","Beginner","12-18m","Diving at Montague Island offers an unforgettable experience with crystal-clear waters, playful Australian fur seals, and vibrant marine life. ","5–15m","May-September","Narooma","Fur seals 
Grey nurse sharks 
Reef fish including angelfish, butterflyfish, parrotfish, kingfish, and trevally
Wobbegong and Port Jackson sharks resting on the seafloor

Sea turtles 
Dolphins
Humpback whales
Little penguins 
Stingrays and eagle rays","Strong currents – Especially on the eastern and southern sides; can challenge inexperienced divers

Cold water temperatures – Thermoclines and upwellings can cause sudden drops in temperature

Surge and swell – Common around rocky entry/exit points; can affect visibility and diver control

Limited visibility – Variable, especially after storms or heavy rain

Marine life – Although mostly safe, close interaction with seals or large sharks requires caution

Boat traffic – Popular for tours and fishing; surface marker buoys are essential

Rough surface conditions – Wind and wave exposure can make boat entry and exit difficult
Depth – Some dive sites exceed 18 metres;","Guided dive tours
Gear rental available
Air fills onboard
Purpose-built dive boats
Accommodation packages nearby",https://naroomacharters.com.au/wp-content/uploads/2018/09/montague-island-west-view.jpg,true,2025-06-28T07:38:40.086Z,,,,,
166,"Julian Rocks – Cod Hole",-28.64400000,153.62750000,"20–26 °C","Intermediate","10–22 m","Swim-through with large cod and pelagics.","10–15 m","October–April","Byron Bay, NSW","Cod, snapper, eagle rays","Current","Boat dive",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:03:38.556Z,,,,,
52,"Oak Park",-34.05660000,151.15440000,"16–22 °C","All Levels","5–18 m","Rocky reef with gullies and swim-throughs, popular for macro photography.","5–15 m","October–April","Cronulla, NSW","Nudibranchs, moray eels, cuttlefish","Surge, boat traffic","Toilets, showers, parking",https://s3-us-west-2.amazonaws.com/imgds360live/storefront/3546038/Gus.jpg?time=1740958462350,false,2025-06-07T11:28:39.756Z,oak-park,90,"Minimal - Gunnamatta Bay is a sheltered estuary; some stormwater from Cronulla residential areas","NE swell reduces viz; clearest on calm SW wind days; post-rain turbidity from bay drains lasts 1-2 days","Summer: 8-15m, Winter: 5-10m; best on calm mornings after settled weather; autumn most reliable"
33,"Blue Holes",-28.39120000,114.59730000,"20–24°C","Beginner","2–12m","Unique coastal reef with natural ""holes"" and excellent snorkeling/diving.","10–15m","October–April","Kalbarri, WA","Octopus, crays, wrasse","Shore entry in swell","Shore access",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAq6_jGVTm9zhOImdXClwSqJKCsQT9tPUT-A&s,false,2025-06-07T08:01:14.673Z,,,,,
21,"Orford Reef Giant Kelp Forest",-42.56800000,147.87700000,"12–18°C","Advanced","10–30m","Rare giant kelp dive with deep walls and cold-water marine life.","10–20m","January–March","Eaglehawk Neck, TAS","Kelp fish, sea dragons, sponges","Cold water, surge","Boat dive",https://www.rewildingmag.com/content/images/2021/11/kelp-forest.jpg,false,2025-06-07T07:48:14.543Z,,,,,
96,"Black Point Jetty",-34.58280000,137.77490000,"15–21 °C","Beginner","2–6 m","Shallow jetty with sponge growth and juvenile fish, good for macro.","5–6 m","Spring–Summer","Yorke Peninsula, SA","Pygmy squid, shrimp, gobies","Low viz after rain","Shore access, parking",https://swandive.com.au/wp-content/uploads/sites/7401/2024/06/Busselton-Jetty-and-Underwater-Sculptures-Boat-Dive-Experience-image-1.jpg?w=700&h=700&zoom=2,false,2025-06-07T11:40:31.360Z,,,,,
64,"Chowder Bay",-33.84100000,151.25750000,"18–24 °C","Beginner","2–6 m","Sheltered harbour site with good muck diving and macro subjects.","3–5 m","Year-round","Mosman, NSW","Pygmy pipehorses, octopus","Low visibility, silt","Shore access, parking",https://tlc-mosman.s3.ap-southeast-2.amazonaws.com/wp-content/uploads/2021/06/Juvenile-Whites-seahorse-on-Seahorse-Hotel-at-Chowder-Bay-credit-Jayne-Jenkins_1581-1024x684.jpg,false,2025-06-07T11:30:03.702Z,chowder-bay,180,"Minimal - protected harbour location at Mosman; small local stormwater catchment","Very protected; general harbour turbidity after heavy rain; boat mooring area creates minor sediment disturbance","Consistent 5-8m year-round; rarely drops below 4m; summer slightly clearer than winter"
4,"Poor Knights Islands",-35.48330000,174.73330000,"16-22°C","Intermediate","5-40m","New Zealands premier diving destination featuring underwater archways, caves, and dramatic wall diving. Subtropical marine life thrives in this marine reserve.","15-40m","November-May","Northland, NZ","Blue mao mao, moray eels, stingrays, kingfish, nudibranchs","Strong currents, cave environments, depth changes","Charter boat access only",https://www.cheekykiwitravel.com/wp-content/uploads/2020/12/Poor-Knights-Islands-New-Zealand.jpeg,false,2025-06-07T04:16:54.315Z,,,,,
19,"Darwin Harbour Wrecks",-12.43810000,130.84180000,"26–30°C","Advanced","15–25m","WWII wrecks with low visibility but fascinating historical appeal and reef life.","3–10m","April–October","Darwin, NT","Wreck species, groupers, nudibranchs","Low visibility, currents","Boat access",https://www.nz.kayak.com/rimg/dimg/dynamic/94/2017/07/97e5e796188975556565db619b8e804b.webp,false,2025-06-07T07:46:08.278Z,,,,,
10,"Lord Howe Island",-31.75420000,159.25170000,"18–26°C","Advanced","5–40m","World Heritage reef and sea stack with sharks, schools, and rare fish.","25–40m","December–March","Lord Howe Island, NSW","Galapagos sharks, Ballina angelfish, turtles","Remote, deep dives, strong surge","Island-based dive ops",https://assets.atdw-online.com.au/images/ad531f28eca274e1f4878e17e1dc7668.jpeg?rect=207%2C0%2C3304%2C2478&w=1600&h=1200&&rot=360&q=eyJ0eXBlIjoibGlzdGluZyIsImxpc3RpbmdJZCI6IjU2YjIzZWJiZDI3MDE1NGI0NTU0MDA4NyIsImRpc3RyaWJ1dG9ySWQiOiI1NmIxZWI5MzQ0ZmVjYTNkZjJlMzIwYzgiLCJhcGlrZXlJZCI6IjU2YjFlZTU5MGNmMjEzYWQyMGRjNTgxOSJ9?w=1600&h=1200&fm=jpg,false,2025-06-07T04:34:45.927Z,,,,,
247,"Terrigal Haven ",-33.44640000,151.45070000,"15–20 °C","Beginner","5-12","Terrigal Haven is the Central Coast’s quintessential training and relaxation dive site. It may lack the dramatic topography of deep offshore reefs, but it compensates with calm waters, gentle reefs, and marine diversity that never fails to surprise. Whether it’s your first descent or your fiftieth return, the Haven remains a place where every dive feels personal — a sheltered corner of the sea that invites you to slow down and simply explore.",,,"Terrigal, NSW","Old wives – easily recognised by their silver stripes and spiny dorsal fins

Wrasse and leatherjackets – in vivid greens and yellows around the kelp beds

Moray eels – hiding in rock crevices, especially near the headland wall

Octopus and cuttlefish – masters of camouflage among the sand and sponge gardens

Schooling fish – yellowtail, mado, and sweep forming shimmering mid-water clouds

Nudibranchs – abundant in cooler months, especially on the sponges near the reef edge

Port Jackson sharks – resting on sand patches or under ledges during the day",,"Public toilets and showers: Well maintained and located beside the car park, including outdoor cold showers for rinsing.

Rinse station: Near the boat ramp — ideal for cleaning masks, fins, and cameras.

Picnic area: Grassed foreshore with shaded tables, perfect for debriefs or lunch breaks.

Cafés and food: Several cafés and restaurants overlook the Haven, including The Cove and The Reef Restaurant. A short walk uphill leads to Terrigal’s main street with bakeries and dive-friendly coffee spots.

Dive shop: Terrigal Dive Centre
 is located on the Haven itself, offering air and nitrox fills, hire gear, courses, guided dives, and boat charters to Skillion Reef and the ex-HMAS Adelaide wreck.

Accommodation: Terrigal offers hotels, serviced apartments, and holiday rentals within a few hundred metres of the Haven.",https://th.bing.com/th/id/OIP.lXxRsUvxfxfrC7p1hyXH1AHaE8?w=280&h=186&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3,false,2025-10-31T06:55:35.358Z,,,,,
248,"Skillion Caves",33.44690000,151.45480000,"17–23 °C","Intermediate","10–24 m","Scillion Caves sits below the dramatic sandstone headland known as The Skillion at Terrigal. This site features swim-throughs, small caverns, and sponge-covered rock faces. It’s a rewarding dive for experienced divers due to depth, surge, and navigation challenges. Access is usually via boat from Terrigal Haven or as an extended shore dive for advanced divers.","8–20 m","April","Terrigal, Central Coast NSW","Home to wobbegongs, blue gropers, and schooling sweep. Nudibranchs and sponges coat the cave entrances. Divers often spot Port Jackson sharks resting in the sand gutters, moray eels, and the occasional kingfish passing by. In winter, giant cuttlefish display along the reef.","Strong surge near the cave mouths in swell. Potential entanglement if entering tight sections. Watch for boat traffic above. Only suitable in calm seas.","Access via Terrigal Haven with parking, toilets, showers, and air fills at Terrigal Dive Centre. Café and restaurant options on the foreshore.",https://i.ytimg.com/vi/zZd0UA9vt9U/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGBMgXSh_MA8=&rs=AOn4CLDUtW3VNbfXCPOqIop3dCZYZGcMNA,false,2025-10-31T20:43:17.508Z,,,,,
56,"Freshwater Reef",-33.77850000,151.29920000,"17–23 °C","Intermediate","6–18 m","Offshore reef with soft corals and great fish life.","8–15 m","October–April","Freshwater, NSW","Kingfish, morwong, wrasse","Boat required","Boat dive only",https://images.unsplash.com/photo-1582967788606-a171c1080cb0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:28:39.756Z,,,,,
45,"Weebubbie Cave",-31.94430000,127.20940000,"17–21°C","Advanced","15–60m","Gin-clear water and massive white limestone chambers.","30–40m","May–October","Nullarbor Plain, WA","Troglobites, blind shrimp","Overhead, zero light","Remote desert access",https://i0.wp.com/lizrogersphotography.com/wp-content/uploads/2013/04/20130329-IMG_7526.jpg?ssl=1,false,2025-06-07T08:02:40.983Z,,,,,
249,"Terrigal HMAS Adelaide (Currently Closed)",33.45470000,151.46670000,"18–24 °C","Intermediate","18–36 m","The HMAS Adelaide is a purpose-sunk ex-Royal Australian Navy guided missile frigate resting upright on the sandy seabed just off Terrigal. Scuttled in 2011, the 138-metre vessel has transformed into one of Australia’s most iconic artificial reefs. Her decks, passageways and control rooms now brim with marine life, offering divers an extraordinary blend of naval history and ocean biodiversity. The wreck sits in clear, temperate water and is accessible to qualified divers under permit.","10–30 m","September–May","Terrigal, NSW","The wreck supports dense growths of soft coral, sponges and kelp. Large schools of yellowtail, kingfish and sweep patrol the superstructure. Look for wobbegong sharks resting on the deck, eastern blue gropers cruising the hull, and the occasional grey nurse shark gliding through the shadows. Nudibranchs and pygmy leatherjackets inhabit the smaller recesses, adding bursts of colour to the steel corridors.","Penetration diving presents entanglement and disorientation risks, entry is restricted to trained wreck divers with reels and torches. Depth and current can vary, and a safety stop is required on ascent. Fishing lines and loose cables occasionally hang from the structure.","Terrigal Haven offers a boat ramp, parking, dive shop air fills, toilets and showers. Charter boats run regular trips from Terrigal Haven and The Haven Boat Ramp. Permits and tokens are available through local dive centres.",https://cdn.shopify.com/s/files/1/2008/5021/products/Dive-imports-004-sm_2048x.jpg?v=1571183241,false,2025-10-31T21:08:19.946Z,,,,,
67,"North Bondi Bommie",-33.88850000,151.28300000,"17–23 °C","Intermediate","6–18 m","Rocky bommie with good fish life and occasional pelagics.","10–15 m","October–April","Bondi, NSW","Groper, trevally, rays","Boat traffic, surge","Shore/boat access",https://images.unsplash.com/photo-1582967788606-a171c1080cb0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:31:18.967Z,north-bondi-bommie,90,"Same Bondi Beach stormwater as North Bondi Rocks - large urban catchment from Bondi and surrounds","Same as North Bondi Rocks - northerly swells and rain events reduce viz; bommie surge from any easterly swell","Same as North Bondi Rocks: Summer 8-12m, Autumn best (10-15m), Winter 6-10m, Spring 5-8m"
69,"The Colours",-33.93990000,151.27000000,"17–23 °C","Intermediate","6–14 m","Vibrant reef with sponges and soft corals, popular photography site.","10–15 m","September–April","Clovelly, NSW","Nudibranchs, rays, small fish","Swell","Shore access, limited facilities",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:31:18.967Z,,,,,
70,"Long Reef Wall",-33.74110000,151.31240000,"16–22 °C","Advanced","15–28 m","Steep drop-off with pelagics and occasional sharks.","10–20 m","October–March","Collaroy, NSW","Sharks, kingfish, moray eels","Strong current, boat only","Boat dive only",https://www.sydneydivecharters.com.au/wp-content/uploads/2021-06-25-Grey-Nurse-shark-3-divers-apartments-best.jpg,false,2025-06-07T11:31:18.967Z,,,,,
250,"Henderson's Rock",-27.13200000,153.47850000,"18°C – 26°C","Advanced","12m – 25m","Renowned for its dramatic topography, featuring deep ledges, kelp-covered gutters, and substantial caverns. It is a critical habitat for the endangered Grey Nurse Shark, making it a highly sought-after location for experienced divers","15m – 30m","Winter","Moreton Island, South East Queensland, Australia","Grey Nurse Sharks (seasonal), Wobbegong sharks, Ornate Crayfish, Brown-banded Catsharks, Bull Rays, and diverse reef fish.","Strong currents, surge, overhead environments (caves/caverns), and entanglement risks (thick kelp).","None (Offshore site; accessible via charter boat from Brisbane or Gold Coast).",https://assets.atdw-online.com.au/images/Original__9198101_TQ_DSC_0652_xtl1mvz.JPG?q=eyJ0eXBlIjoibGlzdGluZyIsImxpc3RpbmdJZCI6IjU2YjI2NTk2YWVlZWFhZjc3M2NmODQ5NSIsImRpc3RyaWJ1dG9ySWQiOiI1NmIxZWI5MzQ0ZmVjYTNkZjJlMzIwY2IiLCJhcGlrZXlJZCI6IjU2YjFlZmVlMGNmMjEzYWQyMGRkMjE3MCJ9&rect=246%2C0%2C3797%2C2848&w=600,false,2026-01-03T21:09:11.473Z,,,,,
251,"Smith Rock",-27.00410000,153.49710000,"19°C–22°C in Winter; 24°C–28°C in Summer","Advanced","6m to 21m","Smith Rock is one of the most significant and notorious dive sites in South East Queensland. Known as a ""ship-killer,"" this jagged granite outcrop has claimed several vessels, including the Aarhus, Marietta Dal, and St. Paul. It is a site characterized by dramatic underwater topography, including deep gutters, caves, and swim-throughs, and is often frequented by large pelagic species.","10m to 30m","Winter (May–August) for calmer seas and better visibility; Slack water is essential.","Moreton Island, Queensland","Marine Life: Home to a high concentration of painted crayfish, wobbegong sharks, and turtles. You can also spot brown-banded bamboo sharks, moray eels, and schools of yellowtail kingfish. During winter, migrating Humpback whales are frequently heard and occasionally seen nearby.","Strong Currents: The site is highly exposed to the East Australian Current.
Surge: Shallow sections can experience heavy surge, making it dangerous near the rock face.
Navigation: The complex cave system requires excellent buoyancy and navigation skills.","No facilities on-site. The site is only accessible by boat via commercial operators from Brisbane or the Gold Coast.",https://assets.atdw-online.com.au/images/50a573a84e0a818b8655c2d16503fb04.jpeg?q=eyJ0eXBlIjoibGlzdGluZyIsImxpc3RpbmdJZCI6IjU5OTEyMmEzOTFlYmFiMTg0NzRhNzk3MiIsImRpc3RyaWJ1dG9ySWQiOiI1NmIxZWI5MzQ0ZmVjYTNkZjJlMzIwY2IiLCJhcGlrZXlJZCI6IjU2YjFlZmVlMGNmMjEzYWQyMGRkMjE3MCJ9&rect=132%2C0%2C2053%2C1540&w=600,false,2026-01-03T21:16:46.321Z,,,,,
85,"Kingscote Jetty",-35.65470000,137.63950000,"14–20 °C","Beginner","2–6 m","Easy jetty dive on Kangaroo Island with sandy bottom and jetty pylons.","5–6 m","Summer months","Kangaroo Island, SA","Crabs, rays, juvenile fish","Silt, boat traffic","Jetty access, parking",https://images.unsplash.com/photo-1582967788606-a171c1080cb0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:32:50.120Z,,,,,
95,"Port Hughes Barge Wreck",-33.71500000,137.63700000,"15–22 °C","Intermediate","10–18 m","Sunken barge with good visibility, fish life and growth.","10–15 m","October–April","Yorke Peninsula, SA","Snapper, trevally, morwong","Boat only","Boat dive only",https://d2p1cf6997m1ir.cloudfront.net/media/photos/70/ff/9a/e73c/3.jpeg,false,2025-06-07T11:40:31.360Z,,,,,
252,"Voodoo",-34.04980000,151.20030000,"16°C - 23°C (61°F - 73°F)","Advanced","10m to 25m (33ft to 82ft)","Located on the southern headland of Botany Bay in New South Wales, Voodoo is a premier shore dive known for its dramatic underwater topography and vibrant marine life. It is often considered one of the best dives in the Sydney region for those with the experience to handle the entry.","5m to 15m (16ft to 49ft)","May - October","Kurnell, NSW","Weedy Sea Dragons, Giant Cuttlefish, Port Jackson sharks, Wobbegongs, and large schools of Yellowtail. Nudibranchs","The entry and exit require a ""giant stride"" off a rock ledge and a timed exit onto a slippery rock platform. Heavy surge can make the gutters dangerous, and the site is highly exposed to southerly and easterly swell","There is a car park nearby within the National Park, but no dedicated dive facilities or freshwater showers at the immediate site.",https://s3-us-west-2.amazonaws.com/imgds360live/storefront/3546038/Voodoo.gif,false,2026-02-24T20:24:48.421Z,voodoo,180,"Potter Point Sewage Outfall: Located approximately 400m-600m West/North-West; releases treated effluent that can drift over the site during NE winds or southerly currents.
Boat Harbour Stormwater: Direct runoff from the industrial basin and historical sandmining ponds to the West; can introduce heavy silt and tannins after significant rainfall.
Port Hacking Estuarine Outflow: Located to the South-West; heavy rain in the Sutherland Shire sends sediment plumes north that wrap around the point.","Negative (Rain): Visibility often drops below 5m (or as low as 2m) following heavy rain (>10mm) due to sediment from Boat Harbour.
Negative (Winds): Moderate to strong winds from any direction except the South/West can ""blow out"" the site. North-Easterly winds specifically push the Potter Point plume toward the reef.
Negative (Swell): Site is highly exposed; avoid if any swell other than SW to NW is greater than 0.5m.
Positive (Tide): Incoming/High tide is ideal, pushing clean ocean water from the South/East onto the reef.
Positive (Current): A North-to-South current is favourable as it pulls outfall effluent away from the dive zone.","Autumn (Best Baseline): Typically offers the most stable conditions and is often cited as the best time for waves and steady visibility.
Winter (Clarity Peak): June to August provides the best visibility, frequently exceeding 15m–20m due to consistent southerly swells bringing in clean oceanic water.
Spring (Worst/Variable): October and November are historically the worst for visibility (averaging poor on ~28% of dives) due to increased wind and potential early plankton blooms.

Summer (Upwelling): Generally good (average 10m–12m), but susceptible to ""greener"" water from localized upwelling events."
100,"Whyalla Jetty",-33.03430000,137.57440000,"15–22 °C","Beginner","2–8 m","Home of the giant cuttlefish aggregation during winter months.","5–10 m","May–August","Whyalla, SA","Giant cuttlefish, wrasse","Surge, cold water","Jetty access, parking",https://images.unsplash.com/photo-1544551763-46a013bb70d5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:43:38.137Z,,,,,
13,"Shelly Beach",-33.79930600,151.28888900,"16–23°C","Beginner","2–12m","Popular Sydney shore dive with calm conditions and abundant temperate marine life.","5–15m","October–May","Manly, NSW","Dusky whaler sharks, cuttlefish, wobbegongs, blue gropers, nudibranchs","Surge, boat traffic","Shore access, showers, parking",https://i0.wp.com/myfavouriteescapes.com/wp-content/uploads/2022/01/Scuba-diving-Shelly-Beach-Manly-fiddler-ray-close-up.jpg?strip=info&w=1000&ssl=1,true,2025-06-07T05:04:23.452Z,shelly-beach,70,"Manly Lagoon stormwater drain approximately 200m north; significant catchment from Manly and surrounds","Drops sharply after rain from Manly Lagoon outflow within 2-4 hours; southerly swell over 1.5m reduces viz to 2-4m; strong NE chop stirs sand in shallows","Summer avg: 10m, Winter avg: 8m; Spring worst (plankton blooms 5m); Autumn most stable (8-12m)"
76,"Cape Banks Caverns",-33.99280000,151.25810000,"17–22 °C","Advanced","10–25 m","Caverns and overhangs with surge channels and deep ledges.","10–18 m","Spring–Autumn","Botany Bay, NSW","Wobbegong sharks, groupers","Surge, sharp entry","Rock entry, remote",https://www.scubadiving.com/sites/default/files/styles/small/public/scubadiving/diver-bens-cave-grand-bahama-shutterstock-image-source-trading-ltd.jpg?itok=dTLKCfBX,false,2025-06-07T11:31:18.967Z,,110,"Cape Banks headland - minimal direct runoff; exposed headland with little development","Exposed at southern Botany Bay entrance; SE swell reduces viz significantly; sand channels inside caverns cloud quickly with surge","Summer: 8-15m (best on calm NE mornings); Winter: 6-10m; worst during sustained SE swell"
14,"Bare Island",-33.99190000,151.23470000,"16–23°C","Beginner","3–12m","One of Sydney's most popular shore dives with great macro life and calm conditions.","5–15m","October–May","La Perouse, NSW","Seahorses, octopus, weedy sea dragons, nudibranchs","Surge, low visibility","Shore access, parking",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2_ApvxUxGn4Lsg3IVd685KF8gV6-veZPsBJfgPIUBfHBFok4uJbiCMicBlkxZB-LNbO4GfZxIpZfGfBfEt7RI7H4cTc3v-CbHQTRZ3KnoeJbRkvH6qnjuvV6QOJl7a59-VhjN=w408-h306-k-no,false,2025-06-07T07:24:22.880Z,bare-island,135,"Minor stormwater from La Perouse suburb; some Botany Bay industrial runoff during heavy rain","Strong SE wind and swell reduces viz to 3-5m; north winds bring clearest water; post-rain turbidity lasts 1-2 days","Summer: 8-12m, Winter: 6-10m; best on north to northeast winds; worst during sustained SE weather"
121,"Wedge Island Caves",-34.93920000,137.32700000,"14–19 °C","Advanced","12–25 m","Cave system with dramatic walls and pelagics.","12–18 m","Summer","Spencer Gulf, SA","Snapper, sharks, nudibranchs","Boat only, caves","Boat dive only",https://images.unsplash.com/photo-1559827260-dc66d52bef19?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:46:54.948Z,,,,,
122,"Hardwicke Bay Jetty",-34.89760000,137.38140000,"15–22 °C","Beginner","3–7 m","Quiet jetty dive with sponge growth and sheltered conditions.","5–7 m","October–April","Yorke Peninsula, SA","Squid, seahorses, rays","Low visibility","Jetty access",https://images.unsplash.com/photo-1582967788606-a171c1080cb0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:46:54.948Z,,,,,
143,"Corny Point Lagoon",-34.94430000,137.01420000,"15–20 °C","Beginner","2–5 m","Lagoon dive with juvenile fish and safe, shallow water.","3–4 m","Summer","Yorke Peninsula, SA","Crabs, small rays, seastars","Silt, tide-sensitive","Shore access",https://images.unsplash.com/photo-1582967788606-a171c1080cb0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:47:46.816Z,,,,,
50,"Fairy Bower",-33.80010000,151.28720000,"17–23 °C","All Levels","5–12 m","Gentle slope with reef ledges and swim-throughs, great visibility.","10–15 m","October–March","Manly, NSW","Wobbegongs, stingrays, cuttlefish","Occasional swell","Shore access, showers",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnw_6hAuqmYTOatbBQ0g2BVnznZCzEt7Gw2A&s,false,2025-06-07T11:28:39.756Z,fairy-bower,45,"Some Manly urban stormwater from the peninsula; less direct runoff than adjacent Shelly Beach","Less swell-exposed than Shelly Beach; rain events affect viz within 24-48 hours; moderate NE swell reduces viz to 4-6m","Summer avg: 10m, Winter avg: 7m; broadly similar to Shelly Beach but slightly more sheltered"
